# (5832, 6)
4.790269233352437065e-07 3.340882365566062634e-07 1.511327300773401770e-07 1.171365149735531652e+01 1.171365149735532540e+01 1.171365149735779276e+01
1.305874608175070728e+00 1.305874791728236284e+00 2.279772392557644078e+00 1.174196009161729037e+01 1.174196011202885792e+01 1.587730696717721912e+01
2.581519768043582186e+00 2.581519768045698715e+00 4.520297637877146002e+00 1.167403147828053989e+01 1.167403147828228605e+01 2.068719533540507172e+01
3.792113530441340696e+00 3.792113679000239213e+00 6.683704533778069390e+00 1.153307873935808026e+01 1.153307878820695720e+01 2.144889600567906385e+01
4.912772610506579873e+00 4.912772610508160831e+00 8.727525678862532388e+00 1.152065143650872692e+01 1.152065143651029011e+01 2.011720503479248379e+01
5.919649571361115470e+00 5.919649664010622203e+00 1.062654595651198974e+01 1.144995668232945540e+01 1.144995673022717675e+01 1.939168076264040153e+01
6.803346013108196644e+00 6.803346013109716317e+00 1.120388322701938044e+01 1.120388322702075712e+01 1.236846384993607373e+01 1.910868578968323206e+01
7.531552958494231120e+00 7.531552992002715108e+00 1.097826175346136601e+01 1.097826177645194967e+01 1.392137130749441631e+01 1.845849528065358314e+01
8.017059922152974138e+00 8.017059922154073703e+00 1.080956129304425062e+01 1.080956129304581737e+01 1.526651196303372338e+01 1.759607952950312182e+01
8.189632942125804504e+00 8.189632942127063941e+00 1.071903950307758713e+01 1.071903950307902242e+01 1.614829027065870548e+01 1.689973136207792948e+01
8.017059922152970586e+00 8.017059922154070151e+00 1.080956129304424529e+01 1.080956129304581737e+01 1.526651196303372338e+01 1.759607952950312182e+01
7.531552958494224015e+00 7.531552992002715108e+00 1.097826175346136779e+01 1.097826177645194967e+01 1.392137130749441631e+01 1.845849528065357958e+01
6.803346013108201085e+00 6.803346013109717205e+00 1.120388322701937689e+01 1.120388322702075712e+01 1.236846384993607728e+01 1.910868578968323206e+01
5.919649571361116358e+00 5.919649664010622203e+00 1.062654595651198797e+01 1.144995668232946073e+01 1.144995673022717675e+01 1.939168076264040153e+01
4.912772610506586091e+00 4.912772610508159943e+00 8.727525678862537717e+00 1.152065143650872692e+01 1.152065143651028833e+01 2.011720503479248379e+01
3.792113530441336700e+00 3.792113679000241877e+00 6.683704533778071166e+00 1.153307873935807848e+01 1.153307878820695720e+01 2.144889600567905674e+01
2.581519768043586183e+00 2.581519768045673846e+00 4.520297637877143337e+00 1.167403147828054344e+01 1.167403147828228605e+01 2.068719533540507172e+01
1.305874608175087159e+00 1.305874791728221185e+00 2.279772392557644078e+00 1.174196009161728327e+01 1.174196011202885437e+01 1.587730696717722623e+01
1.305874608175053408e+00 1.305874791728241613e+00 2.279772392557641414e+00 1.174196009161729215e+01 1.174196011202885082e+01 1.587730696717721912e+01
1.662216994538196380e+00 1.662217058744083653e+00 2.429447276648362131e+00 1.201420615899966293e+01 1.201420616788123219e+01 1.626117831773505529e+01
2.562848456147279297e+00 2.651641966219916213e+00 4.152136514817784452e+00 1.188644047454968700e+01 1.192342406274132571e+01 1.984048857382512310e+01
3.639906082845555169e+00 3.739701097350022874e+00 6.162965531882329984e+00 1.166219742477792742e+01 1.170913875291879513e+01 2.112137390585647978e+01
4.747679523905080856e+00 4.794005022653926140e+00 8.149008427745039640e+00 1.154960182392913026e+01 1.172099242635991700e+01 2.018333307092963835e+01
5.765015034836578955e+00 5.790886311680272236e+00 1.002302376476637136e+01 1.144621919019648715e+01 1.176924829590295474e+01 1.941918289765647998e+01
6.614825455700580115e+00 6.720157734810984884e+00 1.124003955399719779e+01 1.147659617335980897e+01 1.183069052932699705e+01 1.915234264125391661e+01
7.339142051086213314e+00 7.503541149134061783e+00 1.109349243725979761e+01 1.119677277968103013e+01 1.337546083991525947e+01 1.858254621032531517e+01
7.900704154142120572e+00 8.058775960770406144e+00 1.095909183238807394e+01 1.104705189121104958e+01 1.475366161051786840e+01 1.777028418018258904e+01
8.200799551065609094e+00 8.316807648972302403e+00 1.085141345929037371e+01 1.092740959570314097e+01 1.585414116802000883e+01 1.697174168724449572e+01
8.160126695014907838e+00 8.244002432180264961e+00 1.075591239314418601e+01 1.106634463163561755e+01 1.554156568547438511e+01 1.720337744378449685e+01
7.789077359973330061e+00 7.863765739083459216e+00 1.083440242582284441e+01 1.125261036108783941e+01 1.431611332007145876e+01 1.803123313654140958e+01
7.138611126172722088e+00 7.256585197461570047e+00 1.098760119595807971e+01 1.144509351857223933e+01 1.288112677039356058e+01 1.883739188983368962e+01
6.292472162803349534e+00 6.492307378949404573e+00 1.117407556240104682e+01 1.119027576246642752e+01 1.178423436208124464e+01 1.930598056784944561e+01
5.317527590760367850e+00 5.596669353544548642e+00 9.416104803583250415e+00 1.136009430313707469e+01 1.181960898322742004e+01 1.959977170936083368e+01
4.237148660109341769e+00 4.593832070536273626e+00 7.503927624582374278e+00 1.145081273497933338e+01 1.174998393686650111e+01 2.052685082860341836e+01
3.104139529229726246e+00 3.512637506809253463e+00 5.517774846181296766e+00 1.149294576479287144e+01 1.205483905001429257e+01 2.102853232419816365e+01
2.014257431907192863e+00 2.363261049842872996e+00 3.611019980958801057e+00 1.153245776092275143e+01 1.226506651433677675e+01 1.897384457094621268e+01
2.581519768043599505e+00 2.581519768045674290e+00 4.520297637877141561e+00 1.167403147828054344e+01 1.167403147828228605e+01 2.068719533540507172e+01
2.562848456147278409e+00 2.651641966219914437e+00 4.152136514817788004e+00 1.188644047454968522e+01 1.192342406274132927e+01 1.984048857382512310e+01
3.241023349730104641e+00 3.241023349732698122e+00 4.774265203320537054e+00 1.188637014245132129e+01 1.188637014245223078e+01 2.028033076248307864e+01
4.054379405735460296e+00 4.071847849188098500e+00 6.204917090164840943e+00 1.174685227465322157e+01 1.181097892982885966e+01 2.050737328539566207e+01
4.969587399189194343e+00 5.006951378622594540e+00 7.888144174161250355e+00 1.182269867477863379e+01 1.196765376427197758e+01 1.972832076416822744e+01
5.842379459492369698e+00 6.000167131284421806e+00 9.577751157540369320e+00 1.173239252165763169e+01 1.212862638342746990e+01 1.916285456357771011e+01
6.612243362540704439e+00 6.924239341055994146e+00 1.111755932456494556e+01 1.171097532440414035e+01 1.180896676849370941e+01 1.893220695240906437e+01
7.266478234525441948e+00 7.725512491590895259e+00 1.146766557540286158e+01 1.148119888566363755e+01 1.277250647113976179e+01 1.842103630617598498e+01
7.829043106571492494e+00 8.330049790462167536e+00 1.138103137710412227e+01 1.144132728380439623e+01 1.408711950436423699e+01 1.771273614524111650e+01
8.210963265277756662e+00 8.661382457900675291e+00 1.117217148233024560e+01 1.147916589098022477e+01 1.520072695844187471e+01 1.699926820822415507e+01
8.295648045170244345e+00 8.698627371860974122e+00 1.091507554334327246e+01 1.163195025512188252e+01 1.546004383419055017e+01 1.676591825644072031e+01
8.071345519311527994e+00 8.456118958606563041e+00 1.084186276904067547e+01 1.184019304270676543e+01 1.449976437883821667e+01 1.737936436908034210e+01
7.556731303219328844e+00 8.007317606775758989e+00 1.089712881953814438e+01 1.198628258498156995e+01 1.327559005544882709e+01 1.818670753377584504e+01
6.807046077325291655e+00 7.396013369007195415e+00 1.101029887244732386e+01 1.161994072250899812e+01 1.237349948472050620e+01 1.903217550211646270e+01
5.922346927903928027e+00 6.617612985449348173e+00 1.012933168487560742e+01 1.115203891013052306e+01 1.227882834731941308e+01 1.935609354490884826e+01
4.949484567417901992e+00 5.696460227131684206e+00 8.500152765440160962e+00 1.130204935519150489e+01 1.204393608486659595e+01 1.943313609990958568e+01
3.966447118667483895e+00 4.655716350728411612e+00 6.905354997051784238e+00 1.142089523191039824e+01 1.207719470142320795e+01 2.018819999195169501e+01
3.104139529229727135e+00 3.512637506809258348e+00 5.517774846181308313e+00 1.149294576479287322e+01 1.205483905001429434e+01 2.102853232419815654e+01
3.792113530441333147e+00 3.792113679000232107e+00 6.683704533778081824e+00 1.153307873935807670e+01 1.153307878820695187e+01 2.144889600567906385e+01
3.639906082845552948e+00 3.739701097350020653e+00 6.162965531882344195e+00 1.166219742477792209e+01 1.170913875291878803e+01 2.112137390585647623e+01
4.054379405735444308e+00 4.071847849188094060e+00 6.204917090164838278e+00 1.174685227465321802e+01 1.181097892982885433e+01 2.050737328539566917e+01
4.658776430428046567e+00 4.658776583718461595e+00 6.963080360487284182e+00 1.182950214425887836e+01 1.182950220462714874e+01 2.002418229981403641e+01
5.362509625341418840e+00 5.407352289260963119e+00 8.165164913962009052e+00 1.207263881645125814e+01 1.214564609367533166e+01 1.925912633856476575e+01
6.084121612513379240e+00 6.290748302194688613e+00 9.507882108364057672e+00 1.212856292677885506e+01 1.237688635644308022e+01 1.873092043236999871e+01
6.752115816051817099e+00 7.197741354496527855e+00 1.084068409201480421e+01 1.208151735772736046e+01 1.215847558441920384e+01 1.846304199956627912e+01
7.329814070791559999e+00 8.032307165445637054e+00 1.187114339287629683e+01 1.189895902209303635e+01 1.230465293400106752e+01 1.801586311392766859e+01
7.836006262871501704e+00 8.707028830951788478e+00 1.177886158680498774e+01 1.207154403888262983e+01 1.335487445003321128e+01 1.744500764894054967e+01
8.220311183405609512e+00 9.131165673613946154e+00 1.157100778598516833e+01 1.220202235666319446e+01 1.434908164651509210e+01 1.686109267537352352e+01
8.388359583008918818e+00 9.290681686370730219e+00 1.123527549464582798e+01 1.237073602588266219e+01 1.492607328984481718e+01 1.645631048643368288e+01
8.325501194414330897e+00 9.201874267161564092e+00 1.101882547069500262e+01 1.255763316779537497e+01 1.443960309821825483e+01 1.678049724150750777e+01
7.995214971563425976e+00 8.901485777912702346e+00 1.094725668559295073e+01 1.260633861465444028e+01 1.353954513197904852e+01 1.731816653223853564e+01
7.392017517217719380e+00 8.412874711393065752e+00 1.095927082448326750e+01 1.203979544953536696e+01 1.297689211831694500e+01 1.815654332365619794e+01
6.637072542229367933e+00 7.708557506192641462e+00 1.086355969519584619e+01 1.100110782528366293e+01 1.280053580743730990e+01 1.902153976112164102e+01
5.795402456878186115e+00 6.784867308943724140e+00 9.637793397461694056e+00 1.110774605377049085e+01 1.243292004616480817e+01 1.924464207357242174e+01
4.949484567417901992e+00 5.696460227131693088e+00 8.500152765440171621e+00 1.130204935519151022e+01 1.204393608486660305e+01 1.943313609990958568e+01
4.237148660109331999e+00 4.593832070536281620e+00 7.503927624582381384e+00 1.145081273497933338e+01 1.174998393686650289e+01 2.052685082860340415e+01
4.912772610506588755e+00 4.912772610508160831e+00 8.727525678862535941e+00 1.152065143650873047e+01 1.152065143651029366e+01 2.011720503479248379e+01
4.747679523905070198e+00 4.794005022653933246e+00 8.149008427745043193e+00 1.154960182392912138e+01 1.172099242635991523e+01 2.018333307092963835e+01
4.969587399189195231e+00 5.006951378622579441e+00 7.888144174161250355e+00 1.182269867477863556e+01 1.196765376427197580e+01 1.972832076416822034e+01
5.362509625341417951e+00 5.407352289260956901e+00 8.165164913962014381e+00 1.207263881645125814e+01 1.214564609367533343e+01 1.925912633856476930e+01
5.882989337119651552e+00 5.882989337122079831e+00 8.919174412085435932e+00 1.233181931054363822e+01 1.233181931054404501e+01 1.871554792072696927e+01
6.445618728334506997e+00 6.536894440553211894e+00 9.889179247992803568e+00 1.244278726306294303e+01 1.249622330087965949e+01 1.822913948052478261e+01
6.996855550281128266e+00 7.353526574424606110e+00 1.089242780745552075e+01 1.244240509978684095e+01 1.246579261498442825e+01 1.789457439518678683e+01
7.496136307969262447e+00 8.219020164340282264e+00 1.184585011351872730e+01 1.229479577117853673e+01 1.255572618781503991e+01 1.750019886690032678e+01
7.926120000212412364e+00 9.002227715769748784e+00 1.220120176229357867e+01 1.263488668072948329e+01 1.277137437327891512e+01 1.704760601641095974e+01
8.265643806088148082e+00 9.579738278108726135e+00 1.199138729723018137e+01 1.289839214375302667e+01 1.344338206161546267e+01 1.657911638240331698e+01
8.464577930877920764e+00 9.913205878981875330e+00 1.165318543025437314e+01 1.311196974894964740e+01 1.404541702003735182e+01 1.616056953475304070e+01
8.501268655708008382e+00 9.990411341729815931e+00 1.134599863494805660e+01 1.321743808570474066e+01 1.417418488549884081e+01 1.624604100493621317e+01
8.334177368913010753e+00 9.804045192062304181e+00 1.110867374847482303e+01 1.301921972276283768e+01 1.382535020577515184e+01 1.665637261176187423e+01
7.917089374389990830e+00 9.361097457390593846e+00 1.098922609131229144e+01 1.240273960427849609e+01 1.349761129381689173e+01 1.711832387727843496e+01
7.329674622841349851e+00 8.656714314913083186e+00 1.096612387333501637e+01 1.163001300485820977e+01 1.320227351052931475e+01 1.805606369534941891e+01
6.637072542229367933e+00 7.708557506192643238e+00 1.086355969519584086e+01 1.100110782528366293e+01 1.280053580743731168e+01 1.902153976112164102e+01
5.922346927903922698e+00 6.617612985449343732e+00 1.012933168487560742e+01 1.115203891013051951e+01 1.227882834731941131e+01 1.935609354490884471e+01
5.317527590760359857e+00 5.596669353544546865e+00 9.416104803583246863e+00 1.136009430313707114e+01 1.181960898322742004e+01 1.959977170936083368e+01
5.919649571361111029e+00 5.919649664010621315e+00 1.062654595651199685e+01 1.144995668232945540e+01 1.144995673022718208e+01 1.939168076264040863e+01
5.765015034836583396e+00 5.790886311680256249e+00 1.002302376476637491e+01 1.144621919019648892e+01 1.176924829590294941e+01 1.941918289765647998e+01
5.842379459492374139e+00 6.000167131284420030e+00 9.577751157540372873e+00 1.173239252165763169e+01 1.212862638342746990e+01 1.916285456357770656e+01
6.084121612513377464e+00 6.290748302194681507e+00 9.507882108364059448e+00 1.212856292677885861e+01 1.237688635644308377e+01 1.873092043237000226e+01
6.445618728334506997e+00 6.536894440553213670e+00 9.889179247992801791e+00 1.244278726306294303e+01 1.249622330087965949e+01 1.822913948052478617e+01
6.870703768817400636e+00 6.870703966823998421e+00 1.054505185831461311e+01 1.260771195915581799e+01 1.260771206706310110e+01 1.773189345923851334e+01
7.303408891860158292e+00 7.424360330529448326e+00 1.125692214423935233e+01 1.267615408295590917e+01 1.271478767325352521e+01 1.734898654062729406e+01
7.707313709815441172e+00 8.178607938079316853e+00 1.188889101209973909e+01 1.265625429693228021e+01 1.287917878266151028e+01 1.699981550941076236e+01
8.053220398972497307e+00 9.038481417349325753e+00 1.239427436800322013e+01 1.257907202660905632e+01 1.310754659087017160e+01 1.664049123359059479e+01
8.333366715089196575e+00 9.826209802611803212e+00 1.239155566954884335e+01 1.275385523212501049e+01 1.342035557170595972e+01 1.627297912732452545e+01
8.533364904094547398e+00 1.041182222733882057e+01 1.209379207808659906e+01 1.296291868015662629e+01 1.379896755658444185e+01 1.588207323127314119e+01
