# (729, 12)
-3.997034021961528375e-07 -6.662894783835385087e-08 1.934210966530662135e-07 4.080003197884260580e+00 4.080003197885393007e+00 9.628013472114455240e+00 1.518483257970656197e+01 1.586803211661738189e+01 1.586803211661869106e+01 1.608722797028860185e+01 1.608722797029023255e+01 1.978318754132499535e+01
8.148821023535460784e-01 8.148821023545236297e-01 1.433266067680310396e+00 4.036838544308007037e+00 4.036838544309156340e+00 9.440848239160308353e+00 1.587088677771745182e+01 1.587088677771865441e+01 1.607735460878346601e+01 1.607735460878499012e+01 1.779293748598666625e+01 1.986557562318645154e+01
1.586613468031266461e+00 1.586613468032249452e+00 3.305926309681633590e+00 3.903926993081111796e+00 3.903926993082367680e+00 9.051984852949557236e+00 1.588058995589023858e+01 1.588058995589111433e+01 1.604980730853997883e+01 1.604980730854116544e+01 1.997017654561183875e+01 2.126833180556676339e+01
2.278067847749612795e+00 2.278067847750757213e+00 3.671662479257969292e+00 3.671662479259395262e+00 4.872715097705193621e+00 8.374476617805919787e+00 1.589950795017636942e+01 1.589950795017682417e+01 1.601050086701227215e+01 1.601050086701299335e+01 2.019311143659763275e+01 2.151641138558091981e+01
2.862852939764998883e+00 2.862852939766398208e+00 3.327605014704492881e+00 3.327605014706016107e+00 6.062830350421054781e+00 7.279787295576093165e+00 1.592900957093092984e+01 1.592900957093115011e+01 1.596765503651732487e+01 1.596765503651767126e+01 1.978557307069370452e+01 2.040061179257924451e+01
2.862852939765003768e+00 2.862852939766402205e+00 3.327605014704508868e+00 3.327605014706020992e+00 6.062830350421061887e+00 7.279787295576088724e+00 1.592900957093092273e+01 1.592900957093114833e+01 1.596765503651732843e+01 1.596765503651766771e+01 1.978557307069369031e+01 2.040061179257924096e+01
2.278067847749609687e+00 2.278067847750761654e+00 3.671662479257972400e+00 3.671662479259399259e+00 4.872715097705185627e+00 8.374476617805923340e+00 1.589950795017638185e+01 1.589950795017682950e+01 1.601050086701227215e+01 1.601050086701298625e+01 2.019311143659763275e+01 2.151641138558090915e+01
1.586613468031264684e+00 1.586613468032250784e+00 3.305926309681623376e+00 3.903926993081109575e+00 3.903926993082368124e+00 9.051984852949553684e+00 1.588058995589024747e+01 1.588058995589110545e+01 1.604980730853997883e+01 1.604980730854116544e+01 1.997017654561184585e+01 2.126833180556675984e+01
8.148821023535546271e-01 8.148821023545286257e-01 1.433266067680304623e+00 4.036838544308013255e+00 4.036838544309163446e+00 9.440848239160306576e+00 1.587088677771743939e+01 1.587088677771864376e+01 1.607735460878345535e+01 1.607735460878498301e+01 1.779293748598665559e+01 1.986557562318644443e+01
1.485344574637341708e+00 1.590219231544722334e+00 2.854799363742126506e+00 4.357970994697267564e+00 4.658771671061690434e+00 9.334100265930718621e+00 1.529358091549295118e+01 1.590147720870417025e+01 1.631448325372671349e+01 1.672189734503147918e+01 1.825124199770564815e+01 1.970678161714594268e+01
1.788961245608854611e+00 1.831228489375574808e+00 3.152360034080742057e+00 4.318763795825779184e+00 4.643415021874282012e+00 9.165794864273449249e+00 1.591134448606779550e+01 1.629996948838748949e+01 1.646320753778571344e+01 1.672703915773107042e+01 1.871814535616246289e+01 1.966893424017434455e+01
2.251054893438093618e+00 2.615169609594482303e+00 4.000696608448463643e+00 4.198325514159206406e+00 4.607313746950162603e+00 8.813819078135034957e+00 1.594074466640527987e+01 1.625875306312477875e+01 1.666498104074823061e+01 1.678417650054158727e+01 1.980167059556113074e+01 2.049730245077754986e+01
2.782167810454978074e+00 3.231349116807705091e+00 3.988974676651522611e+00 4.441299136267865322e+00 5.139058133204753354e+00 8.196594881045939474e+00 1.598879591125133182e+01 1.619720053238473056e+01 1.651688278502186691e+01 1.664765963269143256e+01 2.003499969263867442e+01 2.084742715543340807e+01
3.274671732493141363e+00 3.681852509999086198e+00 3.751806612740264057e+00 4.156202089889147189e+00 6.210871116891016896e+00 7.239344129758362278e+00 1.605232659132093787e+01 1.612483587702841348e+01 1.643813492395929643e+01 1.653775971753688978e+01 1.992585428246168888e+01 2.025290633340918944e+01
3.274674892594981124e+00 3.681849058434794042e+00 3.746644282484310917e+00 4.167782992198394432e+00 6.195320965680285674e+00 7.256759908941682546e+00 1.605229653415120694e+01 1.612486594533103457e+01 1.642539307273935734e+01 1.654426779604558817e+01 1.991554406313290571e+01 2.026517203714078263e+01
2.782163201661510765e+00 3.228493030959268317e+00 3.988979201406375186e+00 4.419858144748101125e+00 5.153399279067839345e+00 8.175107311933604848e+00 1.598883636589655133e+01 1.619716027546439818e+01 1.654973598558516912e+01 1.663784636112448112e+01 2.007748068620951187e+01 2.079817589939885281e+01
