1.000000000000000000e+01 1.187238714482924455e-07
6.000000000000000000e+01 2.685578342397575494e-02
1.100000000000000000e+02 2.649320641020871392e-01
1.600000000000000000e+02 5.795920343038126754e-01
2.100000000000000000e+02 8.232514426212599323e-01
2.600000000000000000e+02 9.941906973475992393e-01
3.100000000000000000e+02 1.115581603336563310e+00
3.600000000000000000e+02 1.204853719383886190e+00
4.100000000000000000e+02 1.272923355650549704e+00
4.600000000000000000e+02 1.326535529637141719e+00
5.100000000000000000e+02 1.369955139224069640e+00
5.600000000000000000e+02 1.405964713642243957e+00
6.100000000000000000e+02 1.436438014239938665e+00
6.600000000000000000e+02 1.462674666157340431e+00
7.100000000000000000e+02 1.485600517187253056e+00
7.600000000000000000e+02 1.505891133997312226e+00
8.100000000000000000e+02 1.524050088819176141e+00
8.600000000000000000e+02 1.540459931890464818e+00
9.100000000000000000e+02 1.555416243509774032e+00
9.600000000000000000e+02 1.569150884237881849e+00
1.010000000000000000e+03 1.581848212015638522e+00
