# (729, 12)
-2.365002425443236589e-07 3.747454922240183468e-07 4.499933976236217165e-07 4.080003197884279231e+00 4.080003197885398336e+00 9.628013472114458793e+00 1.518483257970657796e+01 1.586803211661868396e+01 1.608722797028859830e+01 1.608722797029023255e+01 1.978318754132500601e+01 2.121699397271664722e+01
8.285401678901715972e-01 8.285584068635081234e-01 1.660423317087601047e+00 4.035330961715278164e+00 4.035339012485419374e+00 9.481811570824239865e+00 1.587050100003524378e+01 1.587050636527800407e+01 1.607739855388209804e+01 1.607740276932660706e+01 1.982732183973796225e+01 2.097378149564273997e+01
1.582726449257747525e+00 1.582730367653804926e+00 3.256860216227655425e+00 3.904656138161272771e+00 3.904660438257856026e+00 9.033606601234028588e+00 1.588076494679720696e+01 1.588076894621435464e+01 1.604984590372791331e+01 1.604984920127073522e+01 1.993075592960818909e+01 2.077951682700209446e+01
2.271689767142611949e+00 2.271690517662328990e+00 3.672816077199120954e+00 3.672824996702706901e+00 4.763049847532819570e+00 8.308911326633559469e+00 1.589963226428952758e+01 1.589965026264976800e+01 1.601105796628536382e+01 1.601107389976901274e+01 2.008884806921535571e+01 2.065150856628161691e+01
2.864293709939927712e+00 2.864300718310788252e+00 3.327897813867550347e+00 3.327899178323990181e+00 6.156356815053789511e+00 7.348129102275033908e+00 1.592966002230974887e+01 1.592968648616479044e+01 1.596653841049707800e+01 1.596656384026491082e+01 2.031594312717628981e+01 2.051194665257012772e+01
2.858059254768360979e+00 2.858086482583459986e+00 3.323545668947141429e+00 3.323551360757620365e+00 6.160745035094849165e+00 7.361003142400876165e+00 1.592519455536387341e+01 1.592530835001782386e+01 1.597222548578690038e+01 1.597233525840353963e+01 2.028978040911346170e+01 2.053519919441623287e+01
2.236648279619399382e+00 2.236691525609926234e+00 3.672303652207588254e+00 3.672372476931582863e+00 4.809344343399583721e+00 8.323153460070523479e+00 1.589750967246552982e+01 1.589766899288864721e+01 1.601599587565399574e+01 1.601614427823817977e+01 2.006233697412444172e+01 2.067050029438276937e+01
1.496614810191514433e+00 1.496937066360335633e+00 3.384073484469894311e+00 3.915434951647019268e+00 3.915551129575431499e+00 9.041102959369803571e+00 1.588077292896665860e+01 1.588091365953531486e+01 1.605194784859033064e+01 1.605208879325454419e+01 1.990652841227396053e+01 2.079471584742567103e+01
6.197835009684596885e-01 6.211779617235292372e-01 1.963841315161573897e+00 4.058275342177334544e+00 4.058395862112589292e+00 9.481852255108323746e+00 1.587075969437837664e+01 1.587087981661518832e+01 1.607608792574487921e+01 1.607622991869797247e+01 1.980701880215029931e+01 2.098734219928546452e+01
1.437839781426459407e+00 1.697049509216407515e+00 2.739408903510232918e+00 4.240571692540596516e+00 4.899221611102414720e+00 9.316427277319398570e+00 1.528459958894469395e+01 1.599285431364350352e+01 1.637715304206223621e+01 1.699285846752210105e+01 1.971576323914072404e+01 2.078093786513122510e+01
1.576984429210998684e+00 1.870155155733579377e+00 3.219239463590869654e+00 4.132763618400830730e+00 5.287960138088618756e+00 8.970391422276961180e+00 1.572485917819311929e+01 1.602093225914953578e+01 1.636403317793602952e+01 1.691663875623821767e+01 1.971495325463867587e+01 2.057746734456170046e+01
2.142462343154756255e+00 2.532844964097863194e+00 3.864782190182335153e+00 4.099523664509328036e+00 5.253069615916747814e+00 8.569394246785739355e+00 1.601770462408811824e+01 1.609266315282983228e+01 1.634703649542118953e+01 1.679380554708695072e+01 1.980929221290953635e+01 2.044880171266748903e+01
